,title,abstract
10,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).","Coronavirus has emerged as a global health threat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COVID-19 that emerged from China. The virus is believed to be acquired from zoonotic source and spreads through direct and contact transmission. The symptomatic phase manifests with fever, cough and myalgia to severe respiratory failure. The diagnosis is confirmed using reverse transcriptase PCR. Management of COVID-19 is mainly by supportive therapy along with mechanical ventilation in severe cases. Preventive strategies form the major role in reducing the public spread of virus along with successful disease isolation and community containment. Development of a vaccine to eliminate the virus from the host still remains an ongoing challenge."
11,COVID-19 diagnosis -A review of current methods.,"A fast and accurate self-testing tool for COVID-19 diagnosis has become a prerequisite to comprehend the exact number of cases worldwide and to take medical and governmental actions accordingly. SARS-CoV-2 (formerly, 2019-nCoV) infection was first reported in Wuhan (China) in December 2019, and then it has rapidly spread around the world, causing ~14 million active cases with ~582,000 deaths as of July 2020. The diagnosis tools available so far have been based on a) viral gene detection, b) human antibody detection, and c) viral antigen detection, among which the viral gene detection by RT-PCR has been found as the most reliable technique. In this report, the current SARS-CoV-2 detection kits, exclusively the ones that were issued an ""Emergency Use Authorization"" from the U.S. Food and Drug Administration, were discussed. The key structural components of the virus were presented to provide the audience with an understanding of the scientific principles behind the testing tools. The methods that are still in the early research state were also reviewed in a subsection based on the reports available so far."
12,"COVID-19: Advances in diagnostic tools, treatment strategies, and vaccine development.","An unprecedented worldwide spread of the SARS-CoV-2 has imposed severe challenges on healthcare facilities and medical infrastructure. The global research community faces urgent calls for the development of rapid diagnostic tools, effective treatment protocols, and most importantly, vaccines against the pathogen. Pooling together expertise across broad domains to innovate effective solutions is the need of the hour. With these requirements in mind, in this review, we provide detailed critical accounts on the leading efforts at developing diagnostics tools, therapeutic agents, and vaccine candidates. Importantly, we furnish the reader with a multidisciplinary perspective on how conventional methods like serology and RT-PCR, as well as cutting-edge technologies like CRISPR/Cas and artificial intelligence/machine learning, are being employed to inform and guide such investigations. We expect this narrative to serve a broad audience of both active and aspiring researchers in the field of biomedical sciences and engineering and help inspire radical new approaches towards effective detection, treatment, and prevention of this global pandemic."
13,Recurrence of positive SARS-CoV-2 in patients recovered from COVID-19.,"Recurrence of positive SARS CoV‐2 PCR has been described in patients discharged from hospital after 2 consecutive negative PCR. We discuss possible explanations including false negative, reactivation and re‐infection and propose different strategy to solve this issue. Prolonged SARS‐CoV‐2 RNA shedding and recurrence of viral RNA shedding in asymptomatic patients remain unknown. Transmission of SARS‐CoV‐2 by asymptomatic carriers had been documented. Considering the significance of this ongoing global public health emergency, it is necessary to carry out large studies to better understand the issue of potential SARS‐CoV‐2 recurrence in COVID‐19 patients. This article is protected by copyright. All rights reserved."
14,Integrated control of COVID-19 in resource-poor countries.,"Low- and middle-income countries (LMICs) face many challenges in controlling COVID-19. Healthcare resources are limited and so are ICU beds. RT-PCR testing is conducted on a limited scale and treatment options are few. There is no vaccine. Therefore, what low-cost solutions remain for the prevention, diagnosis, and treatment of SARS-CoV-2? How should these essential health services be delivered in order to reach the most vulnerable in our societies? In this editorial we discuss several important strategies for controlling COVID-19 including: vaccination, molecular and serological diagnostics, hygiene and WaSH interventions, and low-cost therapeutics. We also discuss the delivery of such services in order to reach the most in need. The proposed integrated control strategy requires immediate action and political will in order to reduce the widening health inequalities caused by the pandemic."
15,Dynamics of viral load and anti-SARS-CoV-2 antibodies in patients with positive RT-PCR results after recovery from COVID-19.,"Recently, the number of patients with coronavirus disease 2019 (COVID-19) who have tested positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), via the reverse transcription polymerase chain reaction (RT-PCR) test, after recovery has increased; this has caused a dilemma regarding the medical measures and policies. We evaluated the dynamics of viral load and anti-SARS-CoV-2 antibodies in four patients with positive RT-PCR results after recovery. In all patients, the highest levels of immunoglobulin G (IgG) and IgM antibodies were reached after about a month of the onset of the initial symptoms. Then, the IgG titers plateaued, and the IgM titers decreased, regardless of RT-PCR results. The IgG and IgM levels did not increase after the post-negative positive RT-PCR results in any of the patients. Our results reinforced that the post-negative positive RT-PCR results may be due to the detection of RNA particles rather than reinfection in individuals who have recovered from COVID-19."
16,COVID-19 Antibody Tests: A Valuable Public Health Tool with Limited Relevance to Individuals.,"Antibody tests for detecting past infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have many uses for public health decision making, but demand has largely come from individual consumers. This review focuses on the individual relevance of antibody tests: their accuracy in detecting prior infection, what past SARS-CoV-2 infection can currently infer about future immunity or possible medical sequelae, and the potential future importance of antibody tests for vaccine selection and medical screening. Given uncertainty about the antibody tests (quality, accuracy level, positive predictive value) and what those tests might indicate immunologically (durability of antibodies and necessity for protection from reinfection), seropositive test results should not be used to inform individual decision making, and antibody testing should remain a tool of public health at this time."
17,Identification of RT-PCR-Negative Asymptomatic COVID-19 Patients via Serological Testing.,"Asymptomatic individuals with coronavirus disease (COVID-19) have been identified via nucleic acid testing for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); however, the epidemiologic characteristics and viral shedding pattern of asymptomatic patients remain largely unknown. In this study, serological testing was applied when identifying nine asymptomatic cases of COVID-19 who showed persistent negative RT-PCR test results for SARS-CoV-2 nucleic acid and no symptoms of COVID-19. Two asymptomatic cases were presumed to be index patients who had cleared the virus when their close contacts developed symptoms of COVID-19. Three of the asymptomatic cases were local individuals who spontaneously recovered before their presumed index patients developed symptoms of COVID-19. This report presents the epidemiologic and clinical characteristics of asymptomatic individuals with SARS-CoV-2 infection that were undetected on RT-PCR tests in previous epidemiologic investigations probably due to the transient viral shedding duration."
18,COVID-19 infection in kidney transplant recipients at the epicenter of pandemics.,"We investigated the prevalence and clinical outcomes of COVID-19 in recipients of kidney transplants in the Bronx, New York, one of the epicenters of the pandemic. Between March 16 and June 2, 2020, 132 kidney transplant recipients tested positive by SARS-CoV-2 RT-PCR. From May 3 to July 29, 2020, 912 kidney transplant recipients were screened for SARS-CoV-2 IgG antibodies during routine clinic visits, of which 16.6% tested positive. Fifty-five of the 152 patients had previously tested positive by RT-PCR, while the remaining 97 did not have significant symptoms and had not been previously tested by RT-PCR. The prevalence of SARS-CoV-2 infection was 23.4% in the 975 patients tested by either RT-PCR or SARS-CoV-2 IgG. Older patients and patients with higher serum creatinine levels were more likely diagnosed by RT-PCR compared to SARS-CoV-2 IgG. Sixty-nine RT-PCR positive patients were screened for SARS-CoV-2 IgG antibodies at a median of 44 days post-diagnosis (Inter Quartile Range 31-58) and 80% were positive. Overall mortality was 20.5% but significantly higher (37.8%) in the patients who required hospitalization. Twenty-three percent of the hospitalized patients required kidney replacement therapy and 6.3% lost their allografts. In multivariable analysis, older age, receipt of deceased-donor transplantation, lack of influenza vaccination in the previous year and higher serum interleukine-6 levels were associated with mortality. Thus, 42% of patients with a kidney transplant and with COVID-19 were diagnosed on antibody testing without significant clinical symptoms; 80% of patients with positive RT-PCR developed SARS-CoV-2 IgG and mortality was high among patients requiring hospitalization."
19,How has the COVID-19 pandemic impacted PCR?,The recent pandemic has posed perhaps the biggest challenge for PCR to date. Is PCR likely to be replaced or will it continue to stand the test of time? [Formula: see text].
20,Discharged COVID-19 patients testing positive again for SARS-CoV-2 RNA: A minireview of published studies from China.,"In the ongoing coronavirus disease 2019 (COVID-19) pandemic, one potential cause of concern is that some discharged COVID-19 patients are testing positive again for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA. To better understand what is happening and to provide public health policy planners and clinicians timely information, we have searched and reviewed published studies about discharged patients testing positive again for the SARS-CoV-2 RNA. Our search found 12 reports, all of which described patients in China. Our review of these reports indicates the presence of discharged patients who remain asymptomatic but test positive. However, it is unclear whether they are contagious because a positive reverse transcriptase - polymerase chain reaction (RT- PCR) test does not necessarily indicate the presence of replicating and transmissible virus. Our review suggests the need for timely, parallel testing of different samples, including, for example, fecal specimens, from COVID-19 patients before and after they are discharged from hospitals."
21,Clinical sensitivity and interpretation of PCR and serological COVID-19 diagnostics for patients presenting to the hospital.,"The diagnosis of COVID-19 requires integration of clinical and laboratory data. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) diagnostic assays play a central role in diagnosis and have fixed technical performance metrics. Interpretation becomes challenging because the clinical sensitivity changes as the virus clears and the immune response emerges. Our goal was to examine the clinical sensitivity of two most common SARS-CoV-2 diagnostic test modalities, polymerase chain reaction (PCR) and serology, over the disease course to provide insight into their clinical interpretation in patients presenting to the hospital. We conducted a single-center, retrospective study. To derive clinical sensitivity of PCR, we identified 209 PCR-positive SARS-CoV-2 patients with multiple PCR test results (624 total PCR tests) and calculated daily sensitivity from date of symptom onset or first positive test. Clinical sensitivity of PCR decreased with days post symptom onset with >90% clinical sensitivity during the first 5 days after symptom onset, 70%-71% from Days 9 to 11, and 30% at Day 21. To calculate daily clinical sensitivity by serology, we utilized 157 PCR-positive patients with a total of 197 specimens tested by enzyme-linked immunosorbent assay for IgM, IgG, and IgA anti-SARS-CoV-2 antibodies. In contrast to PCR, serological sensitivity increased with days post symptom onset with >50% of patients seropositive by at least one antibody isotype after Day 7, >80% after Day 12, and 100% by Day 21. Taken together, PCR and serology are complimentary modalities that require time-dependent interpretation. Superimposition of sensitivities over time indicate that serology can function as a reliable diagnostic aid indicating recent or prior infection."
22,Serologic Response to SARS-CoV-2 in COVID-19 Patients with Different Severity.,"The immense patient number caused by coronavirus disease 2019 (COVID-19) global pandemic brings the urge for more knowledge about its immunological features, including the profile of basic immune parameters. In this study, eighty-eight reported COVID-19 patients in Wuhan were recruited from January to February, 2020, including 32 severe/critical cases and 56 mild/moderate cases. Their mean age was 56.43 years (range 17-83) and gender ratio (male/female) was 43:45. We tested SARS-CoV-2 RNA with commercial kits, investigated the level of serologic IgM and IgG antibodies against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) using magnetic particle chemiluminescence immunoassays, and compared the results of serologic tests and nucleic acid test (NAT). Among 88 patients, 95.45% were confirmed as positive by the combination of NAT and antibody test, which was significantly higher (P < 0.001) than by single nucleic acid test (73.86%) or serologic test (65.91%). Then the correlation between temporal profile and the level of antibody response was analyzed. It showed that seroconversion started on day 5 after disease onset and IgG level was rose earlier than IgM. Comparison between patients with different disease severity suggested early seroconversion and high antibody titer were linked with less severe clinical symptoms. These results supported the combination of serologic testing and NAT in routine COVID-19 diagnosis and provided evidence on the temporal profile of antibody response in patients with different disease severity."
23,SARS-CoV-2 seroprevalence among health care workers in a New York City hospital: A cross-sectional analysis during the COVID-19 pandemic.,"Background: New York City (NYC) has endured the greatest burden of COVID-19 infections in the US. Health inequities in South Bronx predisposed this community to a large number of infectious cases, hospitalizations, and mortality. Health care workers (HCWs) are at a high risk of exposure to the infection. This study aims to assess seroprevalence and the associated characteristics of consenting HCWs from an NYC public hospital. Methods: This cross-sectional study includes serum samples for qualitative SARS-CoV-2 antibody testing with nasopharyngeal swabs for SARS-CoV-2; PCR and completion of an online survey capturing demographics, COVID-19 symptoms during the preceding months on duty, details of healthcare and community exposure, and travel history were collected from consenting participants in May 2020. Participants' risk of exposure to COVID-19 infection in the hospital and in the community was defined based on CDC guidelines. Travel history to high-risk areas was also considered an additional risk. The Odds Ratio with bivariable and multivariable logistic regression was used to assess characteristics associated with seroprevalence. Results: A total of 500 HCW were tested, 137 (27%) tested positive for the SARS-CoV-2 antibody. Symptomatic participants had a 75% rate of seroconversion compared to those without symptoms. Subjects with anosmia and ageusia had increased odds of seroconversion in comparison to those without these symptoms. Community exposure was 34% among those who had positive antibodies. Conclusion: Seroprevalence among HCWs was high compared to the community at the epicenter of the pandemic. Further studies to evaluate sustained adaptive immunity in this high-risk group will guide our response to a future surge."
24,Persistence of SARS-CoV-2 nasopharyngeal swab PCR positivity in COVID-19 convalescent plasma donors.,"Background: Nucleic acid persists after symptom resolution and infectivity for many viral infections via delayed clearance of nucleic acid fragments, non-infectious particles, or transmissible virus. For Coronavirus Disease 2019 (COVID-19), the relationship between nasopharyngeal (NP) swab positivity, the development of antibodies against COVID-19, and clinical history are unclear. Study design and methods: Individuals who recovered from COVID-19 and volunteered to donate convalescent plasma (CP) were screened by NP swab PCR, responded to a questionnaire, and were tested for anti-COVID-19 antibodies. Results: A proportion of 11.8% of individuals tested positive for SARS-CoV-2 by NP swab PCR greater than 14 days after the resolution of symptoms of active disease, including one donor who had asymptomatic disease and tested positive by NP swab 41 days after her initial diagnosis. Clinical history did not show a significant correlation with persistence of NP swab positivity. Also, NP swab positivity >14 days from symptom resolution did not correlate with anti-COVID-19 serology results. IgG anti-SARS-CoV-2 spike antibody strength correlated with hospitalization for COVID-19 using two different assays. Total anti-SARS-CoV-2 nucleocapsid antibody strength correlated with time from symptom resolution to sample collection and symptom duration. Conclusions: SARS-CoV-2 nucleic acid is detectable long after the resolution of symptoms in a significant percentage of previously diagnosed individuals, which is important to consider when interpreting PCR swab results. Persistence of PCR positivity does not correlate with antibody strength or symptoms of COVID-19. If anti-spike antibody is used to assess CP potency, individuals who suffered severe COVID-19 disease symptoms may represent better donors."
25,Paper-based electrochemical biosensor for diagnosing COVID-19: Detection of SARS-CoV-2 antibodies and antigen.,"Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is emerging as a global pandemic outbreak. To date, approximately one million deaths and over 32 million cases have been reported. This ongoing pandemic urgently requires an accurate testing device that can be used in the field in a fast manner. Serological assays to detect antibodies have been proven to be a great complement to the standard method of reverse transcription-polymerase chain reaction (RT-PCR), particularly after the second week of infection. We have developed a specific and sensitive immunosensor for immunoglobulin detection produced against SARS-CoV-2. Unlike other lateral flow-based assays (LFAs) involving the utilization of multiple antibodies, we have reported a label-free paper-based electrochemical platform targeting SARS-CoV-2 antibodies without the specific requirement of an antibody. The presence of SARS-CoV-2 antibodies will interrupt the redox conversion of the redox indicator, resulting in a decreased current response. This electrochemical sensor was proven effective in real clinical sera from patients with satisfactory results. In addition, the proposed format was also extended to antigen detection (the spike protein of SARS-CoV-2), which presents new possibilities for diagnosing COVID-19."
26,Effectiveness of Adding a Mask Recommendation to Other Public Health Measures to Prevent SARS-CoV-2 Infection in Danish Mask Wearers : A Randomized Controlled Trial.,"Background: Observational evidence suggests that mask wearing mitigates transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It is uncertain if this observed association arises through protection of uninfected wearers (protective effect), via reduced transmission from infected mask wearers (source control), or both. Objective: To assess whether recommending surgical mask use outside the home reduces wearers' risk for SARS-CoV-2 infection in a setting where masks were uncommon and not among recommended public health measures. Design: Randomized controlled trial (DANMASK-19 [Danish Study to Assess Face Masks for the Protection Against COVID-19 Infection]). (ClinicalTrials.gov: NCT04337541). Setting: Denmark, April and May 2020. Participants: Adults spending more than 3 hours per day outside the home without occupational mask use. Intervention: Encouragement to follow social distancing measures for coronavirus disease 2019, plus either no mask recommendation or a recommendation to wear a mask when outside the home among other persons together with a supply of 50 surgical masks and instructions for proper use. Measurements: The primary outcome was SARS-CoV-2 infection in the mask wearer at 1 month by antibody testing, polymerase chain reaction (PCR), or hospital diagnosis. The secondary outcome was PCR positivity for other respiratory viruses. Results: A total of 3030 participants were randomly assigned to the recommendation to wear masks, and 2994 were assigned to control; 4862 completed the study. Infection with SARS-CoV-2 occurred in 42 participants recommended masks (1.8%) and 53 control participants (2.1%). The between-group difference was -0.3 percentage point (95% CI, -1.2 to 0.4 percentage point; P = 0.38) (odds ratio, 0.82 [CI, 0.54 to 1.23]; P = 0.33). Multiple imputation accounting for loss to follow-up yielded similar results. Although the difference observed was not statistically significant, the 95% CIs are compatible with a 46% reduction to a 23% increase in infection. Limitation: Inconclusive results, missing data, variable adherence, patient-reported findings on home tests, no blinding, and no assessment of whether masks could decrease disease transmission from mask wearers to others. Conclusion: The recommendation to wear surgical masks to supplement other public health measures did not reduce the SARS-CoV-2 infection rate among wearers by more than 50% in a community with modest infection rates, some degree of social distancing, and uncommon general mask use. The data were compatible with lesser degrees of self-protection. Primary funding source: The Salling Foundations."
27,Resolution of coronavirus disease 2019 (COVID-19).,"Introduction: Coronavirus disease 2019 (COVID-19) was first detected in China in December, 2019, and declared as a pandemic by the World Health Organization (WHO) on March 11, 2020. The current management of COVID-19 is based generally on supportive therapy and treatment to prevent respiratory failure. The effective option of antiviral therapy and vaccination are currently under evaluation and development. Areas covered: A literature search was performed using PubMed between December 1, 2019-June 23, 2020. This review highlights the current state of knowledge on the viral replication and pathogenicity, diagnostic and therapeutic strategies, and management of COVID-19. This review will be of interest to scientists and clinicians and make a significant contribution toward development of vaccines and targeted therapies to contain the pandemic. Expert opinion: The exit strategy for a path back to normal life is required, which should involve a multi-prong effort toward development of new treatment and a successful vaccine to protect public health worldwide and prevent future COVID-19 outbreaks. Therefore, the bench to bedside translational research as well as reverse translational works focusing bedside to bench is very important and would provide the foundation for the development of targeted drugs and vaccines for COVID-19 infections."
28,The potential application of electrochemical biosensors in the COVID-19 pandemic: A perspective on the rapid diagnostics of SARS-CoV-2.,"Electrochemical biosensors combine the selectivity of electrochemical signal transducers with the specificity of biomolecular recognition strategies. Although they have been broadly studied in different areas of diagnostics, they are not yet fully commercialized. During the COVID-19 pandemic, electrochemical platforms have shown the potential to address significant limitations of conventional diagnostic platforms, including accuracy, affordability, and portability. The advantages of electrochemical platforms make them a strong candidate for rapid point-of-care detection of SARS-CoV-2 infection by targeting not only viral RNA but antigens and antibodies. Herein, we reviewed advancements in electrochemical biosensing platforms towards the detection of SARS-CoV-2 through studying similar viruses."
